Coin,Strategy,Entry Time,Exit Time,Entry Price,Exit Price,Amount,Invested,Returned,Profit,Profit%
WLD,HYPER,12:05:46 PM,12:06:02 PM,0.3754,0.3758,66.595631,25.00,25.03,0.0266,0.11%
RENDER,HYPER,12:05:34 PM,12:05:49 PM,2.3290,2.3310,10.734221,25.00,25.05,0.0535,0.21%
IO,HYPER,12:05:28 PM,12:05:46 PM,0.1770,0.1764,141.242938,25.00,24.92,-0.0847,-0.34%
INJ,HYPER,12:05:16 PM,12:05:44 PM,5.4980,5.4920,4.547108,25.00,24.97,-0.0273,-0.11%
POND,HYPER,12:05:23 PM,12:05:29 PM,0.0026,0.0026,9469.696970,25.00,24.91,-0.0947,-0.38%
NEAR,HYPER,12:04:50 PM,12:05:22 PM,2.7210,2.7160,9.187799,25.00,24.95,-0.0459,-0.18%
PHA,HYPER,12:04:44 PM,12:05:20 PM,0.0496,0.0498,504.032258,25.00,25.10,0.1008,0.40%
POND,HYPER,12:05:01 PM,12:05:14 PM,0.0026,0.0026,9469.696970,25.00,25.00,0.0000,0.00%
FET,HYPER,12:04:52 PM,12:04:59 PM,0.2456,0.2453,101.791531,25.00,24.97,-0.0305,-0.12%
HMSTR,HYPER,12:04:44 PM,12:04:50 PM,0.0002,0.0002,147666.863556,25.00,24.94,-0.0591,-0.24%
GRT,HYPER,12:03:50 PM,12:04:43 PM,0.0285,0.0285,875.963560,25.00,24.99,-0.0088,-0.04%
FET,HYPER,12:03:55 PM,12:04:43 PM,0.2452,0.2456,101.957586,25.00,25.04,0.0408,0.16%
RENDER,HYPER,12:04:22 PM,12:04:43 PM,2.3350,2.3370,10.706638,25.00,24.99,-0.0107,-0.04%
IO,HYPER,12:04:11 PM,12:04:17 PM,0.1772,0.1772,141.083521,25.00,25.00,0.0000,0.00%
WLD,HYPER,12:03:59 PM,12:04:11 PM,0.3756,0.3761,66.560170,25.00,25.03,0.0333,0.13%
HMSTR,HYPER,12:03:49 PM,12:04:10 PM,0.0002,0.0002,147318.797879,25.00,25.00,0.0000,0.00%
POND,HYPER,12:03:43 PM,12:03:55 PM,0.0026,0.0026,9469.696970,25.00,24.91,-0.0947,-0.38%
INJ,HYPER,12:03:28 PM,12:03:53 PM,5.5040,5.5060,4.542151,25.00,25.01,0.0091,0.04%
NEAR,HYPER,12:03:34 PM,12:03:46 PM,2.7160,2.7160,9.204713,25.00,25.00,0.0000,0.00%
FET,HYPER,12:03:40 PM,12:03:46 PM,0.2456,0.2454,101.791531,25.00,24.98,-0.0204,-0.08%
IO,HYPER,12:03:22 PM,12:03:40 PM,0.1764,0.1767,141.723356,25.00,25.04,0.0425,0.17%
ROSE,HYPER,12:02:44 PM,12:03:38 PM,0.0100,0.0100,2492.522433,25.00,24.95,-0.0499,-0.20%
WLD,HYPER,12:03:32 PM,12:03:38 PM,0.3760,0.3756,66.489362,25.00,24.97,-0.0266,-0.11%
POND,HYPER,12:03:26 PM,12:03:32 PM,0.0026,0.0026,9505.703422,25.00,25.00,-0.0000,-0.00%
ICP,HYPER,12:03:11 PM,12:03:31 PM,2.6830,2.6750,9.317928,25.00,24.93,-0.0745,-0.30%
WLD,HYPER,12:03:20 PM,12:03:26 PM,0.3760,0.3754,66.489362,25.00,24.96,-0.0399,-0.16%
FET,HYPER,12:02:59 PM,12:03:25 PM,0.2459,0.2458,101.667344,25.00,24.99,-0.0102,-0.04%
HMSTR,HYPER,12:03:14 PM,12:03:20 PM,0.0002,0.0002,147492.625369,25.00,24.97,-0.0295,-0.12%
GRT,HYPER,12:03:11 PM,12:03:17 PM,0.0286,0.0285,874.431619,25.00,24.96,-0.0437,-0.17%
IO,HYPER,12:03:02 PM,12:03:10 PM,0.1767,0.1765,141.482739,25.00,24.97,-0.0283,-0.11%
WLD,HYPER,12:02:56 PM,12:03:10 PM,0.3762,0.3763,66.454014,25.00,25.01,0.0066,0.03%
FET,HYPER,12:02:47 PM,12:02:53 PM,0.2459,0.2458,101.667344,25.00,24.99,-0.0102,-0.04%
HMSTR,HYPER,12:02:34 PM,12:02:53 PM,0.0002,0.0002,147579.693034,25.00,25.01,0.0148,0.06%
IO,HYPER,12:02:43 PM,12:02:52 PM,0.1764,0.1762,141.723356,25.00,24.97,-0.0283,-0.11%
FARM,HYPER,12:02:07 PM,12:02:49 PM,6.5900,6.5400,3.793627,25.00,24.81,-0.1897,-0.76%
POND,HYPER,12:02:01 PM,12:02:46 PM,0.0026,0.0026,9469.696970,25.00,24.91,-0.0947,-0.38%
FET,HYPER,12:02:35 PM,12:02:41 PM,0.2456,0.2456,101.791531,25.00,25.00,0.0000,0.00%
WLD,HYPER,12:02:34 PM,12:02:40 PM,0.3771,0.3770,66.295412,25.00,24.99,-0.0066,-0.03%
LPT,HYPER,11:57:02 AM,12:02:34 PM,2.3190,2.3240,10.780509,25.00,25.05,0.0539,0.22%
ROSE,HYPER,12:01:50 PM,12:02:28 PM,0.0100,0.0100,2500.000000,25.00,25.07,0.0750,0.30%
IO,HYPER,12:02:20 PM,12:02:28 PM,0.1766,0.1763,141.562854,25.00,24.96,-0.0425,-0.17%
NEAR,HYPER,12:01:38 PM,12:02:17 PM,2.7110,2.7130,9.221689,25.00,25.02,0.0184,0.07%
INJ,HYPER,12:01:59 PM,12:02:05 PM,5.5210,5.5190,4.528165,25.00,24.99,-0.0091,-0.04%
WLD,HYPER,12:01:49 PM,12:01:59 PM,0.3781,0.3783,66.120074,25.00,25.01,0.0132,0.05%
IO,HYPER,12:01:52 PM,12:01:58 PM,0.1768,0.1767,141.402715,25.00,24.99,-0.0141,-0.06%
RENDER,HYPER,12:01:43 PM,12:01:49 PM,2.3470,2.3450,10.651896,25.00,24.98,-0.0213,-0.09%
FET,HYPER,12:01:40 PM,12:01:47 PM,0.2446,0.2450,102.207686,25.00,25.04,0.0409,0.16%
IO,HYPER,12:01:40 PM,12:01:46 PM,0.1768,0.1766,141.402715,25.00,24.97,-0.0283,-0.11%
WLD,HYPER,12:01:34 PM,12:01:40 PM,0.3785,0.3783,66.050198,25.00,24.99,-0.0132,-0.05%
INJ,HYPER,12:01:31 PM,12:01:38 PM,5.5160,5.5140,4.532270,25.00,24.99,-0.0091,-0.04%
RENDER,HYPER,12:01:14 PM,12:01:37 PM,2.3460,2.3460,10.656436,25.00,25.01,0.0107,0.04%
POND,HYPER,12:01:04 PM,12:01:34 PM,0.0026,0.0026,9505.703422,25.00,25.19,0.1873,0.75%
HMSTR,HYPER,12:00:44 PM,12:01:28 PM,0.0002,0.0002,147754.137116,25.00,25.04,0.0443,0.18%
WLD,HYPER,12:01:22 PM,12:01:28 PM,0.3783,0.3782,66.085118,25.00,24.99,-0.0066,-0.03%
IO,HYPER,12:00:59 PM,12:01:17 PM,0.1764,0.1771,141.723356,25.00,25.10,0.0992,0.40%
FET,HYPER,12:00:34 PM,12:01:13 PM,0.2442,0.2448,102.375102,25.00,25.06,0.0614,0.25%
WLD,HYPER,12:00:49 PM,12:01:02 PM,0.3788,0.3789,65.997888,25.00,25.01,0.0066,0.03%
